Date,Match,Opponent,Rating
2026-01-14,Chelsea vs Arsenal,Marc Cucurella,6.5
2026-01-14,Chelsea vs Arsenal,Benoît Badiashile,6.5
2026-01-14,Chelsea vs Arsenal,Jorrel Hato,6.5
2026-01-14,Chelsea vs Arsenal,Tosin Adarabioyo,6.5
2026-01-17,Nottingham Forest vs Arsenal,Ola Aina,7.2
2026-01-17,Nottingham Forest vs Arsenal,Nikola Milenković,7.2
2026-01-17,Nottingham Forest vs Arsenal,Murillo,7.2
2026-01-17,Nottingham Forest vs Arsenal,Neco Williams,7.2
2026-01-17,Nottingham Forest vs Arsenal,Morato,7.2
2026-01-17,Nottingham Forest vs Arsenal,Nicolò Savona,7.2
2026-01-20,Inter vs Arsenal,Manuel Akanji,6.9
2026-01-20,Inter vs Arsenal,Francesco Acerbi,6.9
2026-01-20,Inter vs Arsenal,Alessandro Bastoni,6.9
2026-01-20,Inter vs Arsenal,Matteo Cocchi,6.9
2026-01-20,Inter vs Arsenal,Carlos Augusto,6.9
2026-01-20,Inter vs Arsenal,Stefan de Vrij,6.9
2026-01-20,Inter vs Arsenal,Yann Bisseck,6.9
2026-01-20,Inter vs Arsenal,Matteo Darmian,6.9
2026-01-25,Arsenal vs Manchester United,Diogo Dalot,7.7
2026-01-25,Arsenal vs Manchester United,Harry Maguire,7.7
2026-01-25,Arsenal vs Manchester United,Lisandro Martínez,7.7
2026-01-25,Arsenal vs Manchester United,Luke Shaw,7.7
2026-01-25,Arsenal vs Manchester United,Noussair Mazraoui,7.7
2026-01-25,Arsenal vs Manchester United,Ayden Heaven,7.7
2026-01-25,Arsenal vs Manchester United,Tyrell Malacia,7.7
2026-01-25,Arsenal vs Manchester United,Leny Yoro,7.7
2026-02-12,Brentford vs Arsenal,Michael Kayode,6.4
2026-02-12,Brentford vs Arsenal,Kristoffer Ajer,6.4
2026-02-12,Brentford vs Arsenal,Sepp van den Berg,6.4
2026-02-12,Brentford vs Arsenal,Rico Henry,6.4
2026-02-12,Brentford vs Arsenal,Aaron Hickey,6.4
2026-02-12,Brentford vs Arsenal,Ethan Pinnock,6.4
2026-02-12,Brentford vs Arsenal,Nathan Collins,6.4
2026-02-15,Arsenal vs Wigan Athletic,Jack Hunt,7.4
2026-02-15,Arsenal vs Wigan Athletic,Jason Kerr,7.4
2026-02-15,Arsenal vs Wigan Athletic,Will Aimson,7.4
2026-02-15,Arsenal vs Wigan Athletic,Steven Sessegnon,7.4
2026-02-18,Wolverhampton vs Arsenal,Yerson Mosquera,8.1
2026-02-18,Wolverhampton vs Arsenal,Santiago Bueno,8.1
2026-02-18,Wolverhampton vs Arsenal,Ladislav Krejčí,8.1
2026-02-18,Wolverhampton vs Arsenal,Rodrigo Gomes,8.1
2026-02-18,Wolverhampton vs Arsenal,Matt Doherty,8.1
2026-02-18,Wolverhampton vs Arsenal,David Möller Wolfe,8.1
2026-02-18,Wolverhampton vs Arsenal,Pedro Lima,8.1
2026-02-22,Tottenham Hotspur vs Arsenal,Joao Palhinha,6.4
2026-02-22,Tottenham Hotspur vs Arsenal,Radu Drăguşin,6.4
2026-02-22,Tottenham Hotspur vs Arsenal,Micky van de Ven,6.4
2026-02-22,Tottenham Hotspur vs Arsenal,Souza,6.4
2026-02-22,Tottenham Hotspur vs Arsenal,James Rowswell,6.4
2026-03-01,Arsenal vs Chelsea,Reece James,7.0
2026-03-01,Arsenal vs Chelsea,Trevoh Chalobah,7.0
2026-03-01,Arsenal vs Chelsea,Mamadou Sarr,7.0
2026-03-01,Arsenal vs Chelsea,Jorrel Hato,7.0
2026-03-01,Arsenal vs Chelsea,Malo Gusto,7.0
