run_id,threat_type,aggressor_site_id,defender_site_id,initial_threat_x,initial_threat_y,initial_threat_z,initial_threat_vx,initial_threat_vy,initial_threat_vz,radar_3s_x,radar_3s_y,radar_3s_z,radar_3s_vx,radar_3s_vy,radar_3s_vz,outcome,miss_distance_m,time_to_intercept_s,intercept_x,intercept_y,intercept_z
225,high_ballistic,0,0,15000.0,-75000.0,0.0,3096.6883060207592,35.95805078244934,1439.7907737882942,23742.696942822782,-74898.48176194093,4545.6571552380865,2914.2323142742316,33.83941268638136,1500.5040517460254,HIT,0.005948115552121239,176.37424332870148,528995.5188143775,-69031.59936987159,117256.8459823357
226,quasi_ballistic,5,1,80000.0,-65000.0,0.0,1702.4344363137425,228.78358816954815,982.8753099646801,85107.3033089409,-64313.649235491175,2958.480929894042,1702.4344363137425,228.78358816954815,989.4453099646817,HIT,0.1458584178975042,211.1024068403675,431440.2476408497,7752.129482409238,22894.602474513136
227,supersonic_cruise,5,0,80000.0,-65000.0,0.0,1142.5659943149383,20.051404082883593,120.0,83427.69798294525,-64939.845787751256,259.7611575195571,1142.5659943149383,20.051404082883593,64.09553699217709,HIT,0.03584565412620461,228.25381206487307,340795.04257558304,-60423.190551319,2337.810380302665
228,high_ballistic,2,2,10000.0,5000.0,0.0,3036.7342402319464,-67.5809687132287,1560.8141165492507,19031.744144396067,4799.0031493827155,4678.973630384399,3010.5813814653575,-66.99895020576413,1544.942876794796,MISS,78.22639525710167,164.8832959638138,506394.5807293224,-6047.007472660761,126238.00740065734
229,quasi_ballistic,2,2,10000.0,5000.0,0.0,1637.2409213558174,42.95742282915917,899.531861155297,14911.722764067417,5128.872268487503,2708.450583465893,1637.2409213558174,42.95742282915917,906.1018611552985,HIT,0.017387390981332983,220.48776698090685,368257.13325672806,40305.26293318742,35364.65920204994
230,supersonic_cruise,3,2,45000.0,45000.0,0.0,905.7257157292769,-62.517138132044586,120.0,47717.17714718761,44812.448585603706,259.7611575195571,905.7257157292769,-62.517138132044586,64.09553699217709,HIT,0.0010992112101028506,237.5120002468724,260120.7264644964,30151.42947077549,4398.730779741318
231,high_ballistic,3,2,45000.0,45000.0,0.0,3110.3358821623947,-75.56719472508964,1503.1647501021346,54195.63483816353,44776.58736716476,4531.735411950155,3065.211612721177,-74.4708776118005,1495.8634706500486,HIT,0.006878520339527246,161.8296633462565,541042.1628317061,32948.40254430385,118381.47664852721
232,quasi_ballistic,7,2,90000.0,20000.0,0.0,1465.8911186441503,-21.103780891716912,835.9875161403196,94397.67335593264,19936.68865732485,2517.8175484209614,1465.8911186441503,-21.103780891716912,842.5575161403211,HIT,0.061810200214725525,207.90839046402704,391071.3741225073,48605.88769988781,16489.424661282923
233,supersonic_cruise,8,4,70000.0,60000.0,0.0,1147.0275132147794,17.20388053392034,120.0,73441.08253964456,60051.611641601776,259.7611575195571,1147.0275132147794,17.20388053392034,64.09553699217709,HIT,0.006969190693982682,243.9601728837262,349829.03012443427,64197.06165879456,3503.410578198367
234,high_ballistic,0,1,15000.0,-75000.0,0.0,3166.68938222583,215.79554129425836,1414.9982426804106,23773.683832424995,-74402.11317775946,4552.298178136756,2924.5612774749743,199.2956074136143,1502.7177260455821,HIT,0.015095568433316142,172.99980729344074,520948.53627111093,-40521.89932479725,118259.86295911044
